Feature,pc1
fruit_consump_%,7.95300427780057e-06
obsese_adults_%,2.3890859125634342e-05
overweight_adults_%,2.8004721327542024e-05
diabetic_adults_%,7.838556609358436e-06
heartrate_adult_%,1.782096140378264e-06
poor_mental_health_%,1.987885532756464e-05
infant_rate_2014_per1000,-0.0013029770368254599
hiv_density_per1000,-0.002851002209150355
firearm_deaths_2015_%,5.4082528998101714e-08
live_births_2014_%,-1.2454727070363737e-06
nonfatal_opiod_hospitalevents_%,0.00039224145822638017
hypertension_%,1.898229019571647e-07
diagnosed_depression_%,1.2811492195418855e-07
anyexercise_%,2.2419821542567926e-05
suicide_deaths_%,5.0600643250651505e-05
risk_per1000,9.1922636669415e-05
mentalhealth_hosp_rate,0.0
breast_cancer_sir,-0.011266326126828144
prostrate_cancer_sir,-0.010812218318353006
colorectal_cancer_sir,0.007885568436160614
lung_cancer_sir,0.013550797639493926
cervical_cancer_sir,0.027107895944762275
