\,licensed_nurses_per1000,dentists_per1000,physician_assisted_%,pa_provider_density_per10000,physicians_per1000,pcp_per1000,psychiatrist_per1000,psychologist_per1000,pharmacist_per1000,registerednurses_per1000,advancedprn_per1000,health_insurance_coverage_%
licensed_nurses_per1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dentists_per1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
physician_assisted_%,0.0,0.0,0.0,0.8489332798490553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pa_provider_density_per10000,0.0,0.0,0.8489332798490553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
physicians_per1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8243473723128157,0.8203050696767634,0.0
pcp_per1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
psychiatrist_per1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
psychologist_per1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pharmacist_per1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
registerednurses_per1000,0.0,0.0,0.0,0.0,0.8243473723128157,0.0,0.0,0.0,0.0,0.0,0.8476253311824753,0.0
advancedprn_per1000,0.0,0.0,0.0,0.0,0.8203050696767634,0.0,0.0,0.0,0.0,0.8476253311824753,0.0,0.0
health_insurance_coverage_%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
