\,unemployment_rate,labor_force_rate,emp_rate,emp_business_%,emp_computer_%,emp_legal_%,emp_healthcare_%,emp_healthsupport_%,emp_protective_%,emp_foodprepare_%,emp_clean_%,emp_personalcare_%,emp_sales_%,emp_admin_%,emp_farm_%,emp_construct_%,emp_repair_%,emp_production_%,emp_transport_%,emp_material_%,emp_pop_ratio_wh_only,emp_pop_ratio_hisp,employed_male_%,employed_female_%
unemployment_rate,0.0,0.12156063545140998,1.961541666933679e-08,9.393162471495985e-19,5.284298606437242e-06,5.240716331641877e-07,0.0008773398809969447,4.5728602204031705e-11,0.0008164370665815871,1.5653874336571372e-09,0.020923652611265327,7.85178765788724e-10,0.021314793257283523,4.967691667008285e-07,0.717387495389008,0.09941093491081018,0.0017118730146309365,4.42323677765231e-15,4.4387830405016757e-05,3.7464481854208445e-06,7.598386179676186e-10,0.05590054548004109,0.9957343599933641,0.9957343599933641
labor_force_rate,0.12156063545140998,0.0,7.958825539409406e-226,0.040435507696996664,0.00044917552168629085,0.00027677824301363405,0.06846790423659803,0.015412850372877472,0.3647033570709546,0.13769666566402286,0.037957806144765856,0.00017367624808864037,0.0014001696485298272,0.39179978794710957,0.002884083396258542,3.557620692290104e-05,0.028233715966322636,0.2126551745028103,0.91675568719398,0.654003499765752,3.8428636241095157e-140,1.0378554404097604e-07,0.01364402924333056,0.013644029243330707
emp_rate,1.961541666933679e-08,7.958825539409406e-226,0.0,0.7963528999734459,1.979370260529334e-05,0.015280375534479133,0.28511521606625206,0.0002559334490594434,0.13454783483718316,0.007545235978030067,0.016516554347427645,7.397497923278438e-07,0.0006866435317165534,0.06669475678063569,0.007332579772960724,0.00039031687456078114,0.15297161070062473,0.004490658654066828,0.3819358338044966,0.15548584726304035,2.9970639439457994e-180,1.9417958599121986e-08,0.016283397760071202,0.016283397760071202
emp_business_%,9.393162471495985e-19,0.040435507696996664,0.7963528999734459,0.0,2.7227902729183965e-18,4.954498387884147e-08,0.00024038529968738938,1.6107497139155315e-24,0.0005415599086781033,8.489743221660907e-22,1.019232410563852e-16,4.647703221691912e-14,0.6774186907236779,4.704980709058129e-11,0.007343783845223111,8.870950238484693e-07,2.994463434172712e-14,5.5240917866994466e-37,9.549303715359225e-18,9.735982573330739e-18,0.18069818373814134,0.1410847412423922,0.4972434426604656,0.4972434426604656
emp_computer_%,5.284298606437242e-06,0.00044917552168629085,1.979370260529334e-05,2.7227902729183965e-18,0.0,0.0008780841421094633,0.3484298879625898,2.6196969087783123e-11,5.1494066943056335e-05,1.7366614235592432e-08,4.745523033135712e-15,4.538280044251841e-06,0.03925969001652886,6.089088066323688e-11,2.921975560689168e-06,1.8873482819488884e-20,4.997956632831558e-09,6.338357058949261e-14,2.644831327566878e-17,2.7159631983895774e-09,7.502783204395434e-07,0.008242387011258694,0.3891251069159798,0.3891251069159798
emp_legal_%,5.240716331641877e-07,0.00027677824301363405,0.015280375534479133,4.954498387884147e-08,0.0008780841421094633,0.0,0.5127457677374258,1.4603917998058604e-06,0.004037016931738986,0.002220300031390377,0.00424493076030965,0.4862366875847026,0.00027504331856059705,4.1677983611088994e-10,0.19177050881484095,0.005038809394479428,7.749741447833296e-10,6.005583681338687e-16,1.3447951592239838e-12,6.970838919501926e-05,0.20067298214522192,0.02349920118375904,0.0007069225456462698,0.0007069225456462887
emp_healthcare_%,0.0008773398809969447,0.06846790423659803,0.28511521606625206,0.00024038529968738938,0.3484298879625898,0.5127457677374258,0.0,0.19270906248986946,0.5258179273646453,5.774624805666292e-06,2.0601312120238695e-06,6.551751983607199e-07,0.40023657464881834,0.43163229153588567,0.6269364511062541,0.5317471319484661,0.2958952473737363,0.030958157106370083,0.4137630278467228,7.16223723687327e-05,0.8798034527836887,0.2939331234717012,0.6732060873938247,0.6732060873938247
emp_healthsupport_%,4.5728602204031705e-11,0.015412850372877472,0.0002559334490594434,1.6107497139155315e-24,2.6196969087783123e-11,1.4603917998058604e-06,0.19270906248986946,0.0,0.11359087500844618,9.513180936449632e-07,2.5679298210229394e-06,0.0003045770186205039,0.5636618840819998,0.0001386455133688703,0.46430477616290333,0.0031122588094517653,0.010845365033674885,1.5408072658048872e-20,1.7261356812065006e-11,5.436363707399072e-07,4.8438536099713734e-05,0.6353492340777791,0.35639891588352113,0.35639891588352113
emp_protective_%,0.0008164370665815871,0.3647033570709546,0.13454783483718316,0.0005415599086781033,5.1494066943056335e-05,0.004037016931738986,0.5258179273646453,0.11359087500844618,0.0,8.258537865914096e-06,0.050634390645745486,0.015517984724921313,0.09636590658665148,0.007787749139437087,0.05096859316024131,0.7513944752732095,0.013496302101486671,0.07950938174112822,0.005648031204266425,0.6097739436667402,0.3874262271367539,0.6557192109334209,0.006877783575191228,0.006877783575191228
emp_foodprepare_%,1.5653874336571372e-09,0.13769666566402286,0.007545235978030067,8.489743221660907e-22,1.7366614235592432e-08,0.002220300031390377,5.774624805666292e-06,9.513180936449632e-07,8.258537865914096e-06,0.0,2.640273949282672e-10,1.229183063518979e-07,0.2547779292945163,6.617813676156566e-08,0.9890959696439386,0.15937976168769452,0.3732673117721992,6.326284121450817e-06,0.0005142398312699254,8.665071131210246e-05,0.00014895713526066095,0.437053147356815,0.7978518856800015,0.7978518856800015
