\,cancer_admissions_AA,cardio_admissions_AA,cardio_emergencies_AA,Diabetes_admissions_AA,Diabetes_emergencies_AA,Mental_admissions_AA,Mental_emergencies_AA,Stroke_admissions_AA,fruit_consump_%,obsese_adults_%,overweight_adults_%,diabetic_adults_%,heartrate_adult_%,poor_mental_health_%,smoking_rate_%,smoking_pregnant_%,infant_rate_2014_per1000,hiv_density_per1000,firearm_deaths_2015_%,live_births_2014_%,chlamydia_%,gonorrhea_%,syphillis_%,nonfatal_opiod_hospitalevents_%,hypertension_%,diagnosed_depression_%,anyexercise_%,suicide_deaths_%,risk_per1000,smokers_quitworks_%,smokers_helpline_%,substanceuse_rate_AA,mentalhealth_hosp_rate,breast_cancer_sir,prostrate_cancer_sir,colorectal_cancer_sir,lung_cancer_sir,cervical_cancer_sir
cancer_admissions_AA,13.988862845845002,4.314657738196875,6.528082725075395,0.2793432867302916,0.14631686707013236,7.371433357080976,4.376644574571855,3.756277641064944,1.5448713036390596,-2.4081914268172713,-0.06203009796322143,3.290824085151263,7.503687767932892,-2.4186004457463897,0.31263380916156497,-0.32464572954919385,-0.25851000534389845,-0.33082338913454334,1.8480369761748034,-0.8727914782773931,-0.007433096377662553,0.1232670831968237,0.010710425630420026,-0.8843438429425656,-1.2705675131636018,-0.7688419248041877,0.196422063710818,1.2698721624439988,0.4948482338818192,0.46815028657444885,0.4356913313776115,3.1767729653076207,0.1292933519382068,-1.3289000835698537,-1.348623029568703,-0.6795738941603096,-1.0258982932632086,-0.947161341620155
cardio_admissions_AA,4.314657738196875,1.3729520984852606,2.002899452727258,0.1561772744332224,0.15565526420239548,2.209580869578225,1.3740675520312247,1.30468673923889,0.45870971024627394,-0.6801767498399109,0.018073705082075224,1.040300513271685,2.2933045329700863,-0.7564772310298742,0.11826774219326142,-0.09254799432113718,-0.03177041510431837,-0.08289666868912235,0.6237691819315153,-0.26048154048235056,-0.00903628721401185,0.02427525639680778,0.008315787635261876,-0.2555258754773695,-0.3798266398073968,-0.22556549354417516,0.05274136748335801,0.2959728646937615,0.15650844973922315,0.09181414974438334,0.07184381765326214,0.9494328645172153,0.002383540163830712,-0.38427370280910994,-0.40272185911871994,-0.2015432453722758,-0.27971749733065376,-0.2842490678878493
cardio_emergencies_AA,6.528082725075395,2.002899452727258,3.2016963559367775,0.11267111524423094,0.09997056913869398,3.5507811242091525,2.040361876949332,1.6567565863300133,0.765995656249183,-1.222648889440442,-0.05110527301735601,1.4625889939744026,3.496634703558649,-1.1495670891415577,0.16471787029693924,-0.11444114443713861,-0.10337278802841698,-0.31834253533974205,0.8549534827737132,-0.35094958490157124,0.13230452802326004,-0.0071240620059139885,-0.09876198519007894,-0.40478142891768615,-0.5739681017138885,-0.3278355206396543,0.0843820892506917,0.63492110876542,0.2558580388997784,0.22612224395150865,0.2180637090212928,1.4497189310288743,0.14245245112182603,-0.6523717156092949,-0.605277672199018,-0.3211816693346571,-0.5255976557201344,-0.4770435598176929
Diabetes_admissions_AA,0.2793432867302916,0.1561772744332224,0.11267111524423094,1.3946094979258146,2.444494356936001,-0.07635222943208195,0.16581992937681272,1.1941933688963948,-0.12816524213066982,0.12840179221425013,0.06392507146724451,-0.05239880748163934,-0.04745116505220126,-0.0062445342010340864,0.1279818910709122,0.17423852436429327,-0.0009335415951469831,0.14734509610602278,0.0018081463223678057,-0.06360584110664323,-0.02950587152779946,0.13642935583331287,0.09471658455480672,-0.030618976232786855,-0.06646076099284944,0.04703400103538117,0.009981732263596728,0.12136149381814781,-0.010635936727953389,0.061064124584924884,0.01172169011713989,-0.014947922471197757,0.0677284578506095,0.18508917815512815,0.06913041566280517,0.050657186530157876,0.18660651048299026,-0.018560219051345705
Diabetes_emergencies_AA,0.14631686707013236,0.15565526420239548,0.09997056913869398,2.444494356936001,4.56943563771478,-0.29550960161276835,0.20080632607813428,1.9954875601624322,-0.19290254566057585,0.2511052712326071,0.04425444269027149,-0.09673387261255706,-0.11506659592374713,0.1058503427397722,0.2447786970936013,0.3652479202981152,-0.012292750682953876,0.239629924425813,-0.04576311984692884,-0.08867660424788193,-0.05310908188846294,0.18780732991282126,0.1350172306803028,-0.02387793570765596,-0.10831887499034921,0.1720067288236904,-0.029787351350316273,0.22269697618757808,0.0032095652118095887,0.13821115649360152,0.059952224682213104,0.03267210496271745,0.1345671076318403,0.42244685052087627,0.07860379815968904,-0.003914319816954203,0.2723295022155987,0.005902421664739523
Mental_admissions_AA,7.371433357080976,2.209580869578225,3.5507811242091525,-0.07635222943208195,-0.29550960161276835,4.215378693981678,2.275241487852081,1.5358861352449509,0.8670672665010232,-1.4538663803854606,-0.11789575209408062,1.6464161141469562,3.9601301470655486,-1.2735089543292413,0.05703607779410455,-0.18909304855344414,-0.15100214033445203,-0.28806442491846934,0.8325593813319861,-0.5032561903166758,-0.004388279626831307,0.03735789502735836,-0.023095122472006766,-0.4464737036553576,-0.5942104782468506,-0.3738381739988471,0.08675120033319865,0.8278112516582998,0.20203725300578446,0.31182349287342886,0.30793367171195374,1.7855663620002002,0.2648424624541452,-0.8571992654365882,-0.7139347344664012,-0.4004369592916043,-0.6614830221096691,-0.5091183479082729
Mental_emergencies_AA,4.376644574571855,1.3740675520312247,2.040361876949332,0.16581992937681272,0.20080632607813428,2.275241487852081,1.4882773827994158,1.3909018091789926,0.49691719509410054,-0.7160456215205597,-0.050557193042319794,1.1027296442369867,2.4669176234694965,-0.726283955999326,0.16847527640874133,-0.05303565363941788,-0.06687168377700434,-0.005380625267571507,0.5348576434947401,-0.2718519615691092,-0.005894116160479792,0.07639963531921233,0.0656392254656833,-0.21223567677597624,-0.39001641955018207,-0.1807214734044644,0.041013555669691955,0.2600813756337124,0.1520216879958042,0.12666075576278282,0.10262648507007904,1.150916576682969,0.025894956221376657,-0.32755819595228614,-0.3739427155205354,-0.13759628138213564,-0.2470933676240123,-0.2750262796348382
Stroke_admissions_AA,3.756277641064944,1.30468673923889,1.6567565863300133,1.1941933688963948,1.9954875601624322,1.5358861352449509,1.3909018091789926,2.458677484506802,0.2964449341221878,-0.33496557563445734,0.09092645783914802,1.001143224388657,2.02880201739717,-0.6292455684981386,0.2955033435351048,0.06267396178492636,0.02537367561106564,0.18627339569969967,0.629714333622648,-0.29178873384535237,-0.029250877293476318,0.23838766157732558,0.1509359931400251,-0.2091974335455762,-0.46563508449267244,-0.17033304508093403,0.06485686038886974,-0.040090923748978165,0.1131360577577323,0.12204496303242555,0.05525214012446392,0.7617420822720028,-0.1412747131844066,0.029860462080412802,-0.23551298052060612,0.021630093519698287,-0.0019206752510947719,-0.2301191426792304
fruit_consump_%,1.5448713036390596,0.45870971024627394,0.765995656249183,-0.12816524213066982,-0.19290254566057585,0.8670672665010232,0.49691719509410054,0.2964449341221878,1.35601151720048,-0.7116680964885462,-0.5570683996779473,0.0986830200101729,0.878412018031722,-0.5828549024280104,-0.2727701088304771,-0.17432856954946965,-0.024081662052708796,-0.05543738974073255,0.15113981661723838,-0.29013506699366387,0.05644898145415511,0.16080209577598895,0.036811677271873476,-0.4222347933203288,-0.4813746355488213,-0.1796687755264781,0.39535867511320233,0.20470956181739253,-0.20840971108528597,0.010996025007034645,0.058497377146340644,0.1285607549169137,-0.1556129582093806,-0.10328071821063244,-0.2554313362168587,-0.2271408077508428,-0.45097745569775294,-0.2849678951848019
obsese_adults_%,-2.4081914268172713,-0.6801767498399109,-1.222648889440442,0.12840179221425013,0.2511052712326071,-1.4538663803854606,-0.7160456215205597,-0.33496557563445734,-0.7116680964885462,1.868983405336403,1.0070053879658485,0.24587353408591614,-1.217400727939725,1.0432465979105756,0.3815210522386844,0.2755329498856473,0.3019149649664433,0.14442233862042905,-0.23846804913318043,0.3527035348394083,-0.3929579661942948,0.012473098508073993,-0.013280991082543343,0.6966773506296405,0.5436028482457403,0.2654482498971402,-0.42946008247352724,-0.3113653669418357,0.4840871256224524,-0.0741848094707182,-0.0644933690865241,-0.19585554582264628,0.18714961545069217,0.22625260128122446,0.2065320223549812,0.4215408845148875,0.6314760702683462,0.3633942858611761
