Feature,pc1
no_vehicle_avail_%,1.7433785030339943e-13
below_poverty_level_%,5.5067062021407764e-14
exp_perpupil_USD,2.1349851327292103e-08
debt_pervaluation_%,1.3623065113415086e-12
homeless_Shelters_per_1000,2.4395419255097935e-12
median_owner_home_USD,1.937309180767374e-06
median_sale_homes_USD,2.2875712862851995e-06
unemployment_rate,3.806223513555067e-12
race_Wh_%,-1.917315010972866e-12
race_Afam_%,1.9219323137560234e-13
race_Alaska_%,4.29511125882787e-14
race_Asian_%,7.779440993627358e-13
race_Hawaii_%,-6.0920311411794854e-15
race_Other_%,6.93885169055818e-14
race_Two_%,8.083331783063763e-14
emp_computer_%,7.456582179001369e-13
emp_legal_%,-2.6851299882501564e-13
emp_healthcare_%,-1.3745981239617048e-13
emp_healthsupport_%,-9.793385248950779e-14
emp_protective_%,-7.750030745076426e-14
emp_foodprepare_%,-1.0259673323253451e-13
emp_clean_%,-1.9360509334952807e-13
emp_personalcare_%,-1.0513545058609001e-13
emp_sales_%,2.2746722676032643e-13
emp_admin_%,-2.0493162964245808e-13
emp_farm_%,-5.6621275573541984e-15
emp_construct_%,-3.618783241060579e-13
emp_repair_%,-1.2328175075851034e-13
emp_production_%,-2.8464183909924223e-13
emp_transport_%,-1.1951017972048611e-13
emp_material_%,-8.380843939068432e-14
occ_lt0.5_%,-1.0462255123029437e-13
occ_1.01to1.5_%,-3.952945820432699e-17
occ_1.51to2.0_%,2.1404426121995254e-14
occ_gt2.01_%,1.6982201580604806e-14
owner_homes_%,-1.0192399693241488e-12
moved_lastyear_%,-2.5464124185506147e-13
house_nokitchen_%,2.3373520650012124e-13
age_lt18_%,6.745080985375801e-13
house_lt1939_%,-2.1398222428663807e-13
house_2000to2014_%,5.926744521384023e-13
house_income_gt30_USD_%,2.0960721164934562e-13
median_earnings_retail_USD,-6.14132644295709e-08
gross_rent_%,2.0306608028158493e-13
comm_car_%,-9.58768083723945e-13
comm_carpool_%,-8.186497555411926e-14
comm_bus_%,6.509858879053904e-13
comm_walk_%,6.660045916033821e-14
comm_cycle_%,8.429670569028867e-14
comm_taxi_%,-1.7810049111158607e-14
comm_wfh_%,1.698537718020128e-13
income_capita_USD,1.4296307908843503e-07
gini_index,-6.622822900570378e-14
lep_%,-3.5246682640702685e-13
exemplary_%,-3.4635623455300335e-12
proficient_%,6.733224004010748e-12
need_improve_%,3.0972816384568525e-12
unsatis_%,1.2277344933195529e-12
read_write,-4.725676266367098e-11
dropout_%,2.2453222646240847e-13
college_%,4.082686430269063e-12
property_val_USD,0.0
tobbaco_retailers_2019_%,6.835439616969976e-15
licensed_nurses_per1000,3.598700626464115e-12
preschool_%,1.1111703708636394e-13
health_insurance_coverage_%,-4.111471486030533e-14
public_school_%,5.374100220041312e-13
private_school_%,3.2871518055773114e-13
liquor_per1000,-1.3510364949559098e-10
dentists_per1000,2.2657309594216954e-12
young_females_%,2.2969147912559506e-13
pa_provider_density_per10000,6.47816515706574e-13
median_age,-6.034165152031147e-13
lt5years_%,2.7933751034284926e-15
snap_%,2.3175178961937294e-15
pcp_per1000,9.275090054197451e-14
psychiatrist_per1000,1.943973942473085e-14
psychologist_per1000,6.333820678778145e-14
pharmacist_per1000,8.875277075048028e-13
registerednurses_per1000,1.2892628986311788e-12
population_density,-2.9116776526871387e-10
rural_population_%,-3.2977897905434876e-12
costas%income_wmgage_lt20%_%,-1.1159248667488324e-13
